Intolerance
numero,refOrganisme,codeMembre,idLegume
68,32156,55192,346
81,43623,39066,897
88,27741,46495,281
46,15936,26584,611
90,12277,68262,863
1,17630,21685,588
52,20627,17082,840
17,32445,75894,450
97,39015,60219,546
20,23332,77427,376
42,246,48633,159
29,17803,49674,854
6,48591,39852,596
59,40071,83122,978
31,11920,89109,469
83,35733,68003,880
92,40278,72205,512
27,33899,94238,369
93,11706,99512,344
40,28274,79013,172
84,19404,67312,344
6,42050,37537,880
41,33330,34032,590
63,39536,64092,764
73,7566,52008,877
20,7183,78786,207
20,29512,87417,174
21,26654,81808,466
16,12867,67895,327
80,18963,84650,837
40,64,88155,427
22,42548,11442,226
41,40658,62485,517
21,46144,71027,370
39,47859,12526,189
39,20843,94383,717
60,21413,45936,174
79,8523,32697,546
97,26556,49225,125
41,11500,77637,646
57,26135,28184,424
7,9476,96543,711
89,39689,99291,371
2,5773,88177,189
54,42468,38156,596
98,15159,40688,255
95,21958,34814,332
68,38096,43328,978
86,14452,78857,636
47,19642,60726,913
77,45625,93489,845
2,21611,56645,419
66,30609,96094,257
28,38238,74338,942
90,27288,32631,764
34,33324,95349,139
63,21247,42382,997
80,42886,39878,711
9,13538,90368,861
8,44362,64971,872
54,14919,46098,773
35,13802,28426,789
76,15414,63901,720
87,38637,86375,246
7,42679,89077,116
91,39241,32819,877
97,10948,54242,299
21,28406,71120,436
90,46784,46940,187
20,30970,34233,648
27,6464,96237,225
29,5515,27591,116
26,41912,79923,844
53,45219,98274,344
7,7546,65655,537
61,49162,52283,811
18,20709,83163,373
10,15512,63352,519
4,43174,54598,137
8,21869,40850,196
81,14394,68334,198
46,7750,89379,373
91,10336,78713,755
63,30610,27633,574
30,42131,33134,547
2,27906,65464,773
8,34597,82884,404
75,30614,97109,736
92,11911,17696,773
53,18220,80591,690
12,45702,53459,427
23,42060,63295,370
11,33379,82768,139
61,7197,44902,415
71,42067,30942,925
26,32078,97068,877
2,9664,68263,736
99,46392,45473,5
33,16097,42177,756
25,35900,67640,984
20,26548,93043,10
84,25975,95809,149
22,30755,18243,149
